step,bin_idx,weight,mean_reward,n_samples,n_falls,mean_ep_len,mean_vx_at_term,r_en
48,0,0.125000,0.000084,4122,4096,6.308,0.130283,0.000000
48,1,0.125000,0.001154,20,0,1000.000,0.168183,0.000000
48,2,0.125000,0.000019,19,0,1000.000,0.183088,0.000000
48,3,0.125000,0.000000,31,0,1000.000,0.169117,0.000000
48,4,0.125000,0.000000,34,0,1000.000,0.173392,0.000000
48,5,0.125000,0.000000,25,0,1000.000,0.182627,0.000000
48,6,0.125000,0.000000,24,0,1000.000,0.181569,0.000000
48,7,0.125000,0.000000,23,0,1000.000,0.175167,0.000000
96,0,0.125000,0.041487,26,1,972.846,0.173153,0.000000
96,1,0.125000,0.003867,23,0,1000.000,0.142983,0.000000
96,2,0.125000,0.000106,23,0,1000.000,0.125141,0.000000
96,3,0.125000,0.000006,19,1,951.947,0.137849,0.000000
96,4,0.125000,0.000000,19,1,970.789,0.207467,0.000000
96,5,0.125000,0.000000,25,0,1000.000,0.215120,0.000000
96,6,0.125000,0.000000,20,0,1000.000,0.107249,0.000000
96,7,0.125000,0.000000,25,0,1000.000,0.180670,0.000000
144,0,0.125000,0.136882,38,8,859.342,0.149139,0.000000
144,1,0.125000,0.007182,35,2,991.657,0.136262,0.000000
144,2,0.125000,0.001473,42,10,846.667,0.126455,0.000000
144,3,0.125000,0.000003,28,3,955.786,0.149584,0.000000
144,4,0.125000,0.000000,32,5,916.719,0.153869,0.000000
144,5,0.125000,0.000000,22,3,923.727,0.122983,0.000000
144,6,0.125000,0.000000,24,5,918.583,0.179512,0.000000
144,7,0.125000,0.000000,29,5,920.034,0.147460,0.000000
192,0,0.125000,0.150083,42,15,869.167,0.104040,0.000000
192,1,0.125000,0.035668,31,10,828.097,0.103234,0.000000
192,2,0.125000,0.000740,29,9,911.759,0.146623,0.000000
192,3,0.125000,0.000013,25,10,828.640,0.118192,0.000000
192,4,0.125000,0.000000,39,17,803.923,0.098658,0.000000
192,5,0.125000,0.000000,32,12,841.375,0.121058,0.000000
192,6,0.125000,0.000000,36,7,938.500,0.094133,0.000000
192,7,0.125000,0.000000,39,5,961.256,0.144355,0.000000
240,0,0.125000,0.235338,44,19,807.068,0.126428,0.000000
240,1,0.125000,0.049456,48,23,744.667,0.099328,0.000000
240,2,0.125000,0.001901,33,12,800.758,0.098425,0.000000
240,3,0.125000,0.000009,36,12,871.944,0.083831,0.000000
240,4,0.125000,0.000000,28,7,894.107,0.134027,0.000000
240,5,0.125000,0.000000,25,3,958.920,0.126303,0.000000
240,6,0.125000,0.000000,35,5,939.057,0.090701,0.000000
240,7,0.125000,0.000000,31,2,965.710,0.141676,0.000000
288,0,0.125000,0.277464,46,20,783.935,0.089579,0.000000
288,1,0.125000,0.047613,48,21,802.417,0.093712,0.000000
288,2,0.125000,0.002327,30,14,808.100,0.078582,0.000000
288,3,0.125000,0.000027,25,10,767.520,0.095223,0.000000
288,4,0.125000,0.000000,31,9,850.129,0.123497,0.000000
288,5,0.125000,0.000000,33,6,924.485,0.131111,0.000000
288,6,0.125000,0.000000,29,3,921.103,0.147910,0.000000
288,7,0.125000,0.000000,34,4,968.029,0.146591,0.000000
336,0,0.125000,0.427130,55,41,599.473,0.096611,0.000000
336,1,0.125000,0.099126,50,36,579.880,0.082492,0.000000
336,2,0.125000,0.005335,43,27,639.209,0.074981,0.000000
336,3,0.125000,0.000055,38,17,757.947,0.093606,0.000000
336,4,0.125000,0.000000,39,16,723.436,0.089070,0.000000
336,5,0.125000,0.000000,32,7,882.344,0.121639,0.000000
336,6,0.125000,0.000000,28,5,896.929,0.117492,0.000000
336,7,0.125000,0.000000,29,5,891.138,0.130563,0.000000
384,0,0.125000,0.475605,90,68,558.967,0.079854,0.000000
384,1,0.125000,0.108298,64,46,554.672,0.084301,0.000000
384,2,0.125000,0.003967,43,23,681.698,0.088423,0.000000
384,3,0.125000,0.000067,45,23,709.400,0.104235,0.000000
384,4,0.125000,0.000000,47,27,699.000,0.104704,0.000000
384,5,0.125000,0.000000,37,8,886.892,0.115200,0.000000
384,6,0.125000,0.000000,37,17,716.730,0.132554,0.000000
384,7,0.125000,0.000000,39,10,800.205,0.105811,0.000000
432,0,0.125000,0.488448,79,63,575.177,0.092318,0.000000
432,1,0.125000,0.111647,72,56,547.097,0.080822,0.000000
432,2,0.125000,0.004873,63,40,660.365,0.111610,0.000000
432,3,0.125000,0.000053,54,32,646.074,0.105478,0.000000
432,4,0.125000,0.000000,50,27,697.100,0.085322,0.000000
432,5,0.125000,0.000000,62,21,819.339,0.114326,0.000000
432,6,0.125000,0.000000,28,14,715.500,0.090223,0.000000
432,7,0.125000,0.000000,34,9,856.618,0.127768,0.000000
480,0,0.125000,0.513487,100,87,553.240,0.074175,0.000000
