cond             bin  reward_mean  reward_std   slope/iter  status
------------------------------------------------------------------------
uniform            0        0.976       0.001     -0.00000  CONVERGED to optimal
task_specific      0        0.975       0.001      0.00000  CONVERGED to optimal
teacher            0        0.975       0.000     -0.00000  CONVERGED to optimal
uniform            1        0.971       0.001     -0.00000  CONVERGED to optimal
task_specific      1        0.970       0.000      0.00000  CONVERGED to optimal
teacher            1        0.970       0.000      0.00000  CONVERGED to optimal
uniform            2        0.958       0.001      0.00000  CONVERGED to optimal
task_specific      2        0.960       0.000      0.00000  CONVERGED to optimal
teacher            2        0.957       0.001      0.00001  CONVERGED to optimal
uniform            3        0.946       0.002      0.00001  CONVERGED suboptimal
task_specific      3        0.947       0.001      0.00000  CONVERGED suboptimal
teacher            3        0.945       0.001      0.00000  CONVERGED suboptimal
uniform            4        0.934       0.001      0.00000  CONVERGED suboptimal
task_specific      4        0.935       0.001     -0.00000  CONVERGED suboptimal
teacher            4        0.935       0.001      0.00000  CONVERGED suboptimal
uniform            5        0.911       0.002      0.00001  CONVERGED suboptimal
task_specific      5        0.917       0.002     -0.00001  CONVERGED suboptimal
teacher            5        0.917       0.001      0.00000  CONVERGED suboptimal
uniform            6        0.811       0.005      0.00002  CONVERGED suboptimal
task_specific      6        0.867       0.004     -0.00002  CONVERGED suboptimal
teacher            6        0.859       0.002     -0.00000  CONVERGED suboptimal
uniform            7        0.001       0.001     -0.00000  CONVERGED suboptimal
task_specific      7        0.706       0.006     -0.00003  CONVERGED suboptimal
teacher            7        0.696       0.005     -0.00000  CONVERGED suboptimal
